strain	virus	gisaid_epi_isl	date	region	country	division
hCoV-19/Spain/CL-IBV-97006191/2020	betacoronavirus	EPI_ISL_537337	2020-04-13	Europe	Spain	Castilla y Leon
hCoV-19/Spain/CL-IBV-97006213/2020	betacoronavirus	EPI_ISL_537359	2020-04-13	Europe	Spain	Castilla y Leon
hCoV-19/Spain/RI-IBV-99005837/2020	betacoronavirus	EPI_ISL_537382	2020-03-22	Europe	Spain	La Rioja
hCoV-19/Spain/RI-IBV-99005841/2020	betacoronavirus	EPI_ISL_537384	2020-04-03	Europe	Spain	La Rioja
hCoV-19/Spain/RI-IBV-99005847/2020	betacoronavirus	EPI_ISL_537390	2020-03-29	Europe	Spain	La Rioja
hCoV-19/Spain/RI-IBV-99005900/2020	betacoronavirus	EPI_ISL_537439	2020-03-20	Europe	Spain	La Rioja
hCoV-19/Spain/CL-IBV-97006282/2020	betacoronavirus	EPI_ISL_537652	2020-04-21	Europe	Spain	Castilla y Leon
hCoV-19/Spain/RI-IBV-98002308/2020	betacoronavirus	EPI_ISL_537831	2020-03-10	Europe	Spain	La Rioja
hCoV-19/Spain/VC-IBV-98003107/2020	betacoronavirus	EPI_ISL_538043	2020-03-15	Europe	Spain	Comunitat Valenciana
hCoV-19/Spain/VC-IBV-98003118/2020	betacoronavirus	EPI_ISL_538054	2020-03-16	Europe	Spain	Comunitat Valenciana
hCoV-19/Singapore/961/2020	betacoronavirus	EPI_ISL_538496	2020-04-10	Asia	Singapore	NA
hCoV-19/Singapore/962/2020	betacoronavirus	EPI_ISL_538497	2020-04-10	Asia	Singapore	NA
hCoV-19/England/LEED-2A9580/2020	betacoronavirus	EPI_ISL_538793	2020-04-09	Europe	United Kingdom	England
hCoV-19/England/LEED-2AA4A0/2020	betacoronavirus	EPI_ISL_538892	2020-04-08	Europe	United Kingdom	England
hCoV-19/England/LEED-2A9FEC/2020	betacoronavirus	EPI_ISL_538943	2020-04-08	Europe	United Kingdom	England
hCoV-19/England/LEED-2A9D79/2020	betacoronavirus	EPI_ISL_538954	2020-03-26	Europe	United Kingdom	England
hCoV-19/England/LEED-2AA710/2020	betacoronavirus	EPI_ISL_538985	2020-04-07	Europe	United Kingdom	England
hCoV-19/England/LEED-2A87C7/2020	betacoronavirus	EPI_ISL_539017	2020-04-03	Europe	United Kingdom	England
hCoV-19/England/LEED-2A8ADD/2020	betacoronavirus	EPI_ISL_539044	2020-04-04	Europe	United Kingdom	England
hCoV-19/England/LEED-2A8B52/2020	betacoronavirus	EPI_ISL_539074	2020-04-04	Europe	United Kingdom	England
hCoV-19/England/LEED-2A823F/2020	betacoronavirus	EPI_ISL_539138	2020-04-06	Europe	United Kingdom	England
hCoV-19/England/LEED-2A8563/2020	betacoronavirus	EPI_ISL_539171	2020-04-01	Europe	United Kingdom	England
hCoV-19/England/LEED-2A93C2/2020	betacoronavirus	EPI_ISL_539198	2020-04-05	Europe	United Kingdom	England
hCoV-19/England/LEED-2A92F2/2020	betacoronavirus	EPI_ISL_539209	2020-04-06	Europe	United Kingdom	England
hCoV-19/Spain/AR-ISCIII-201782/2020	betacoronavirus	EPI_ISL_539515	2020-03-08	Europe	Spain	Aragon
hCoV-19/Gabon/ITM-K028/2020	betacoronavirus	EPI_ISL_539576	2020-03-27	Africa	Gabon	Libreville
hCoV-19/England/SHEF-C6CD5/2020	betacoronavirus	EPI_ISL_540734	2020-05-24	Europe	United Kingdom	England
hCoV-19/India/MH-NIV-73500/2020	betacoronavirus	EPI_ISL_541738	2020-06-22	Asia	India	Maharashtra
hCoV-19/Lithuania/MR-LUHS-Eilnr65/2020	betacoronavirus	EPI_ISL_541869	2020-04-11	Europe	Lithuania	Marijampoles apskritis
hCoV-19/Lithuania/MR-LUHS-Eilnr95/2020	betacoronavirus	EPI_ISL_541877	2020-04-18	Europe	Lithuania	Marijampoles apskritis
hCoV-19/Italy/CAM-CRGS-708/2020	betacoronavirus	EPI_ISL_5419170	2020-03-24	Europe	Italy	Campania
hCoV-19/Italy/LOM-UniMI-L169/2020	betacoronavirus	EPI_ISL_542163	2020-03-14	Europe	Italy	Lombardy
hCoV-19/Italy/LOM-UniMI-L356/2020	betacoronavirus	EPI_ISL_542290	2020-03-05	Europe	Italy	Lombardy
hCoV-19/Italy/LOM-UniMI-L450/2020	betacoronavirus	EPI_ISL_542368	2020-03-23	Europe	Italy	Lombardy
hCoV-19/Netherlands/NH-RIVM-10103/2020	betacoronavirus	EPI_ISL_547501	2020-03-10	Europe	Netherlands	Noord-Holland
hCoV-19/Singapore/988/2020	betacoronavirus	EPI_ISL_548996	2020-03-20	Asia	Singapore	NA
hCoV-19/England/ALDP-951F55/2020	betacoronavirus	EPI_ISL_551289	2020-06-09	Europe	United Kingdom	England
hCoV-19/England/ALDP-92BD2D/2020	betacoronavirus	EPI_ISL_551373	2020-06-22	Europe	United Kingdom	England
